Id,SalePrice
2,30596490.055006668
4,59059834.0250966
6,42745914.61916067
7,40287160.99454403
17,44272505.80585678
18,57872489.14835175
22,35416313.088117145
27,28099327.87588992
31,31171581.109223295
36,38927976.65683679
39,58034262.28821812
40,49866242.72462871
42,54165669.0589666
46,40410715.511242054
53,33934219.605922215
58,35852853.30748102
61,69684157.03042895
72,42954330.802739345
79,22047005.324074414
80,45717990.97799536
82,41279232.61714812
83,29463763.428455286
85,35320186.7322418
88,29771262.509972755
92,65153957.77238652
93,61127319.72234527
95,45084687.63113651
102,45669852.77777363
103,37875572.42314839
106,49236264.79043397
107,25119519.39282902
110,44299586.68646686
114,52122586.76769662
116,41308771.170736164
117,42183715.97933017
118,37448604.434155114
125,32284181.845649537
126,44553597.53293066
127,30020653.24522512
128,61866436.0972653
134,35886277.32205824
135,33016952.333207976
137,62376755.505710386
143,36524780.55580895
147,34465214.43122893
148,45531820.072929054
150,29568745.343033466
156,33427123.853856355
157,27174024.159682456
159,33071257.531829417
161,72520604.06035125
167,35065342.44202656
170,48089348.1350858
171,26408341.626113925
175,41210642.416120745
179,32446811.78266005
181,33922723.94179674
186,55317152.333020456
193,51373948.78414592
194,21679907.73607564
206,26373789.987339463
208,46456630.561480254
210,45702031.19944082
211,30598262.512627177
212,34523259.3638581
214,42318284.5542881
215,43636441.50799674
217,46777183.88825527
222,29895599.495635178
227,38409813.963063374
228,38356156.88932301
233,44112412.10203508
235,43005097.28246229
238,35471407.414351545
241,35773799.32951309
252,39130444.74154516
253,38116446.092612505
256,31745363.88188683
257,30377028.649460435
258,44711334.02682949
259,44856003.62719792
261,36159032.11654788
263,27526310.951083407
266,50053642.44447873
267,54965251.23082863
270,27063952.776044715
271,48578105.503012605
276,34555368.50726444
285,41961709.03396491
288,24152053.383306775
289,43118552.41172477
290,26141187.369538605
291,54834206.43229702
292,38726869.267254874
293,57996938.6102675
294,56557511.1485363
295,57273899.21817856
304,32668673.416202836
322,59112701.70184582
326,41490989.046281695
327,28330395.11443652
328,26837439.785472773
331,16167978.386011824
332,25289490.941560797
333,28330395.11443652
335,34528553.79716559
337,62537266.26602486
342,27888230.318985835
343,44358204.8064133
347,39981832.92892045
350,68467089.19233066
352,42606714.24216238
358,38567853.255644545
359,39173136.03134934
360,35093264.57333304
368,63222144.57283053
369,43565278.84739117
373,42654002.81653291
377,66071186.0560655
383,47760867.492212564
386,50103461.30960447
387,48172455.840862386
390,35704432.71010258
391,39020897.830723606
395,30863725.708803084
397,31240441.956829485
398,28187265.955890045
401,28194039.719076734
404,38240738.894974105
408,34213019.36851669
409,29148107.280956406
410,40591328.45358265
418,25077888.261266008
422,77479585.89024886
427,68246311.63835539
431,62434894.441660054
433,78160592.1447881
437,66142458.94078311
438,54584993.67075619
442,56344018.25604261
447,46459684.30229723
459,56391458.15218304
460,45408370.859805726
464,42972543.28121899
465,37851930.44099101
467,38472937.14495343
468,39878550.41155974
474,33497898.500057846
480,41703501.9323449
481,38891188.38635458
483,41011562.947537184
488,46940876.09572638
492,44054770.56438593
494,35949392.46899982
499,72077157.49975224
500,68707435.96197848
501,64148402.79243473
503,56111564.754500836
506,47913716.17665528
508,54705119.312702104
511,53605241.54845046
515,49516600.958581835
519,39678835.41565367
521,50057289.25751593
